BDRC ID,Prakraś Catalog ID,Title,Parallels In,Description / Summary (English),Language,Topics,Prakraś URL
WA0GN09834, RS20-01,Suhadukha Sutra,,,LangPgd,,https://gandhari-texts.sydney.edu.au/text/suhadukha-sutra/
WA0GN09835, RS20-02,Mahaparaḍaha Sutra,,,LangPgd,,https://gandhari-texts.sydney.edu.au/text/mahapara%e1%b8%8daha-sutra/
